summonerId,summonerName,puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
a4A6S2ebnG82FtvIK4Wdg9qPoWIle0rIrdZo7lPDAqimfw,실바너스,aGwAjY_3n3kI5ka8o6lBG6_vhnkCpVzVuF0etkFO15CDyvt1FTI9nhHe5rk3TbrSDqOb6TGXzK3V3w,0,I,155,146,False,False,False,False
KHCkTGz5707bbvUDt3QKdL4vTE4In0BdCHpEaHEjYcU_WzI,저라뎃복귀기원,37VmiEEQ2pN65pj4q7HrTzIJIpMyss4Floa-n496JZ_E27ahs1RiHjHlmKX-HnJwbi_dtR1NXfVYaA,0,I,99,74,False,False,False,False
YA-15dEchPt1RfWTMA_sZyIGK1qzwn_2CP1Cc659Yd32cw,민 설,RAzNSrmRnAVAHpo9bBsckJm6di_h8yW5iKOQdKKl-Yq64p4IIVZRRoGVxW0LlxfPBNecptfjxMHAUA,0,I,101,83,False,False,False,False
ymjSpiIzFiJBEunx-gBVXi0YxkeTv7TlxtYkwFEm2dsQTQ,입털면트롤모드,yU-KM-aShZUxVrRF-U_33qb-eUPh_J9cT9ENrzEdu1ROdnS7tJwFhhK26L0NEJPoymOgFa-GkcpVdQ,0,I,83,57,False,False,False,False
AZGb7ON3gyGwGFSt2BvNr1SEGUo24VJsmCoC-ySLju0y0Mo,쇼윈도에걸린셔츠,4wWBR4jdd4EkBY_ZBiC5FlvMf5Fs1uTy9UbpTeXGVWfspjZ1J0iePSpkmNZzJCtF8KhVkuXgQb1k5Q,5,I,38,14,False,False,False,True
0oOpk8m__mCGuxw6uTnm89SUGGdcCMEa5eYqctACaawazoA,돈돈돈한돈,6LKDOEv6BKVD2IGkmryZ1k_n4B139HEVXsnqhoz8VlEHGnBIahs5-O7plwsJfLN0mGT2df8vgGRjRA,0,I,181,142,False,False,False,False
zOa3HuTYAfE39vyogT1DyIv6vKNsBma0HiZiqoblyKhlHVOTfw9BrgyhOg,pk뮤 즈 ,NHk8BMVD29gUTKuA8CHzBvvItQJg3m29Gjn_09omVczzp_d9gbHfNPbRO9zAEufEQus_V1ARXu-HpQ,0,I,341,316,False,False,False,False
ybzvbkMoRGvR6vaAgK7Ly02uHFHkVDX9xX07pM8HqAspbg,공꽁콩,chy5vuBuiaeDTrXdMPfxnWLh26BM4Tkh6_o0kHmxiVFjUzxK1XKAbuHsz47coG3do1F3c7WpEBsQaA,0,I,66,46,False,False,False,True
B1ussBVkKs63xdkLjI67u9ZjDP1cx9UFVKQ5xj-l1QiNvw,AFTV봉아재,BHg7A6ZkDrkMorm-bW-eVI3YJol1XU5UH3RH6CQDuFSfODV9glJNeXYZjHi4S_5z_4BAGBZT-mPEjw,0,I,101,87,False,False,False,False
a5mtwZciNGvxEVn9Qd1eIrlFLh0Pzh4iq_9P-st_fVWUbuQ,소지현,BjvltzzyGgKhE7yQVPP2f9X8JjpPmD6sqxxnuJgi9Hm4AMfkktn4MjB7J4BXXD-zJQL9HyHQas5u-Q,27,I,207,175,False,False,True,False
u44hIegRqEvDbU0-T0PwXQf7fZyXnpOB7rJtIXzewOTuKNI,카캇캇,vJzbiEP06DUUaFnWtMpc8CzeWjoHsshbQ5MkEZECkbq95Qp7TOAE7fn5TeVRNRZVi08y9C5wSXZitg,0,I,202,188,True,False,False,False
NOf46J8Wg9FVTsEPXC6mgFb8MpgppO8bmUXtSEN2Dyg-9RZc33pkeF6zyA,낸데왜,EqdNTxbw08I-QX31E4rm26LCg0Q73kczenk8ey2TA25tT8NVt75192NNDVAqmwX4NvoH2l1mo8caRQ,187,I,100,59,False,False,False,False
aXAmhOJ5NJ7OGwhXVllZhEAFzvqfHQkkUeppUXB7fiRl6Q,버그활용법,1fsSzM7GufBgSzpQzvXFkDkJQKvX9eRXR4t2_WGS5AIzohAjFuElqJSIu2VY38OItKzffWGxrU_q8w,0,I,91,84,False,False,False,False
V0QhKjxG-MTZ43X3LIk-FrokwsrFOHp26JBfv_QfjMaQO3lwuEYVx1QThg,점수에진심인편,LEYVC9z5iVVaaGTpBO32w3fNL_yGdVnwXUCXwUKiLWU1F2Wryv3H2i9WAenAIG6GwitgZW3NF7ak3A,0,I,115,99,False,False,False,False
AwU0m1UTy1ERpeNe1uuAigMJA6dwdr6krEjuyuTa1esCn2I,MILF물조절장인,tr9fI6MZ6hIIT1t-_BzY7t7xQNkykquuPFJcPxqYbbmoF8ownaz18CS9O5T9GAbKrHLPjA7DEDbRJg,91,I,54,40,False,False,True,True
puIC6hQPtPk5qoxMr6vIxgHOkxT3B7GA39flHeOuAzysp2U,롤체좀치는사람,MKz4ixb35Vn-n3nL0LLB0ix4m2XkctQGlXatOSSIN8NuKAkExCCQJkSCX5nfj5CrzhjkUNhdfnr2-Q,0,I,103,90,False,False,True,False
3PMmYmFB2lyAnNJ3vNMRG_v_E3vcptpsMEAWnn3Me0CqNAI,곰시       곰시,owgRWFqK2hYQFTOyzqr0qGEsaZvs7hbjUOP2IJUe3dQ_GblFt5_0xuLFY2W3K8ks_jL8hmt4I2_lgQ,0,I,100,88,False,False,False,False
tnHjnsnompYjH1VykpZGS6O5_sgN5GJb6oHgbOISKbrqu9aiwDfnlfeHxQ,테이겐,al2ZP9tr7jQ6Pw_hYCKrSEVnPfvgFBvRK1D58-OZmEaQtl2QRqsumMgQC1Mj0c5AFQD3mXqrwpzbIw,0,I,165,114,False,False,False,True
TqER7hoD4PubYce1LLL_A7w1aGa5KP4RIqs-uzXEIYT9GA,젖통맘마,ys2EuvuYRFLybZ2b3v2-iB44QwCJh1XQZfwxUKVGwjLvt3jKer2jguBO0pRC6cr18ZYxVnGngSecPA,21,I,77,54,False,False,True,False
QWit3f8tOMKj7vbumsbgjb7UVmDu-9H7MFIkxUoQS9AQ5g,강남구에이스,byomybXP5FG3AfBhXnhT0vXUwamkYyHzXEvR8mT-8kKBWC-dYG-VpfAiDCUHd-B4S9zqKIfhY6zMZQ,0,I,228,192,False,False,True,False
KLz-wioNv7hg7KFOpLVDud9y16gkrpURpTcHzx-j4knM6A,서대문 꿀주먹,RkBmxHnF4coU04zX7qu41b0CcKgl9VvRirvOw8Vr45jOJ38KA9FFyyucX42jEgB0gFV9lqpXZ9288w,0,I,117,100,False,False,False,False
-DDY8C3i_8EWTr2iAMsq9OOEXx4nKSOi3Nc9V59nzpkesw,류 송,IV_RfO8H-bJmJEHwFt9zsaXpGKAeNYNWRJwGU4ZYND9NYdAofd_t66HVllY_VSHsnf9piECEz7gzOA,4,I,157,139,False,False,True,True
62ZnFHvyrc7VHE0sSVPXvyY4YBYFBqcXeXk_Zz3K96Uw0A,two dumbs up,sujdit8X0TwiXeDHVgbHmGthdanRuW7jCgJ2Gx5GvxkEgS511iH53OOz8GuhwsnY0-BHmtjGWEG31w,0,I,74,55,False,False,False,False
trmf0Gpr46kElJsd7xUDKy_hscW1kCP6XFUHfh6qJweAU0c,원딜이론,qhfUUQQWTYfRbQiOmAjdJdWE8Dg2awPoT5yXyH91hGwnqalF2Era45RdPqmxL9Rr3k87UzBVUVhyvg,13,I,146,126,False,False,False,False
GYfkBZDvcbWHiIhsLTjZCIg9ghOgTavqPvokJmAFxPZoN9-J,zzlI77,ovn2GhS0lj71_bIpEubhozMBeCxSoL6r2EDI-2mkK7lE3zybLdwc-BU66H0B21_J1CRbJxIN27GUgA,0,I,220,197,True,False,False,False
XhfFVbZcAAJgPoupqo8JyA831e360yhyVWXvCifBUb3ipgE,귀여운고라니,aVTZlOtdTDHMP9mouWVMomOSaMVUJqC049SCtZEkIfUAeNlb-JBQN8Q-OHY-zogmUYQWAtoPBMlhMg,0,I,110,91,False,False,False,False
ihbYvazxlKy_ih4D1KYAfHgoN-C3zE9huDrA0x96cYDkbxg,Ranto,0nSPGh8BwcpCUQbVkLT1-uddfv90McB4tGsQpBTUUc5gqu9rNRdgOQMaRlPQDSecGu6a5yzm6GtrQA,131,I,78,54,False,False,False,False
qyE53JA4rCl_EicFLdDMetXYwxnk84dn2Dn9sNrcEGMsKg,호형짱,gVMCqUo4fv1yNnbSVvG4iAYuk8n6d4M_hgBjlTEuy-Cr2q_FGiefisDVlxJ1joN4eTkaoGXyOMTxig,0,I,137,124,False,False,False,False
ROr73BudesI5QDats4TrswC11UfoefQGDHuGXbTJ8D7MAHxufXOvJuIJSA,ElementaI,EOetUxVetZdZVIUdaO3MLrC1wDmYHfTxaCi4RV-JI2Waf-wOsJFhliaNIMjslZ_TImr2cO9XUA3pgw,119,I,218,189,False,False,False,False
